,index,RUC,nombreComercial,direccion,distrito,provincia,departamento,n_trabajadores,tamano_empresa
0,0,20525043844,,"Av. Manuel Olguín 211, Of. 703",Santiago de Surco,Lima,Lima,0,Mediana Empresa/Medium Size Company
1,1,20504541267,,"Calle Cantuarias 270, Of. 701",Miraflores,Lima,Lima,0,Pequeña Empresa/Small Size Company
2,3,20600680171,,"Mz. A, Lote 33-C, Urb. La Capitana ",San Juan de Lurigancho,Lima,Lima,0,Mediana Empresa/Medium Size Company
3,4,20379719440,RESTAURANT WA LOK,Av. Angamos Oeste 700,Miraflores,Lima,Lima,156,Mediana Empresa/Medium Size Company
4,6,20538516903,,"Calle Las Tiendas 237, Piso 4, Urb. Limatambo",Surquillo,Lima,Lima,0,Pequeña Empresa/Small Size Company
5,7,20504021182,,Av. Federico Recavarren 542,Miraflores,Lima,Lima,64,Mediana Empresa/Medium Size Company
6,8,20505108672,,"Av. 22 de Julio 230, Zona Industrial",Ate,Lima,Lima,119,Mediana Empresa/Medium Size Company
7,9,20381729053,,Calle Roca De Vergallo 270,Magdalena del Mar,Lima,Lima,0,No disponible/Notavailable
8,11,20255651260,,Av. Javier Prado Este 3619,San Borja,Lima,Lima,0,No disponible/Notavailable
9,12,20600819926,,"Jr. Cumbibira Mz. M, Lote 42, Of. 301, Urb. La Capullana",Santiago de Surco,Lima,Lima,0,No disponible/Notavailable
10,13,20556504629,,"Calle Aquia 4870, Urb. Parque Naranjal",Los Olivos,Lima ,Lima,0,Pequeña Empresa/Small Size Company
11,14,20548771022,DOCE GAS,"Av. Canto Grande 362, Urb. Canto Grande",San Juan de Lurigancho,Lima,Lima,0,Mediana Empresa/Medium Size Company
12,15,20454980931,,"Calle Ferreñafe 294, Urb. Las Flores de Monterrico",Santiago de Surco,Lima ,Lima,19,Mediana Empresa/Medium Size Company
13,16,20555466570,,"Calle San Aurelio 243, Urb. Villa Marina ",Chorrillos,Lima,Lima,0,Mediana Empresa/Medium Size Company
14,17,20267540544,,Av. Argentina 2015,Cercado,Lima,Lima,24,Pequeña Empresa/Small Size Company
15,18,20504502105,,"Jr. Mariano Pacheco 1013, Urb. Santa Catalina",La Victoria,Lima,Lima,39,Mediana Empresa/Medium Size Company
16,19,20511472432,320 S.A.C.,"Av. Caminos del Inca 1458, Urb. Las Gardenias",Santiago de Surco,Lima,Lima,0,Pequeña Empresa/Small Size Company
17,20,20267432571,,"Av. Camino Real 159, Of. 202",San Isidro,Lima,Lima,0,Pequeña Empresa/Small Size Company
18,21,20511403899,360 BTL S.A.C,Calle José Gabriel Cossío 337,Magdalena del Mar,Lima ,Lima,20,Mediana Empresa/Medium Size Company
19,22,20506479941,,"Jr. Julio C. Tello 242, Urb. Covida",Los Olivos,Lima,Lima,0,Pequeña Empresa/Small Size Company
20,24,20509430625,,"Jr. Antonio Bazo 1027, Of. 201, Urb. San Pablo ",La Victoria,Lima,Lima,0,Mediana Empresa/Medium Size Company
