UBIGEO,CCDD,DPTO,CCPP,PROVINCIA,CCDI,DISTRITO,CODCCPP,NOMCCPP,ZONA_ID,ZONA_A,VIV_PART,HOGARES,C2_P1_1,C2_P1_2,C2_P1_3,C2_P1_4,C2_P1_5,C2_P1_6,C2_P1_7,C2_P1_8,C2_P3_1,C2_P3_2,C2_P3_3,C2_P3_4,C2_P3_5,C2_P3_6,C2_P3_7,C2_P3_8,C2_P3_9,C2_P4_1,C2_P4_2,C2_P4_3,C2_P4_4,C2_P4_5,C2_P4_6,C2_P4_7,C2_P4_8,C2_P5_1,C2_P5_2,C2_P5_3,C2_P5_4,C2_P5_5,C2_P5_6,C2_P5_7,C2_P6_1,C2_P6_2,C2_P6_3,C2_P6_4,C2_P6_5,C2_P6_6,C2_P6_7,C2_P6_8,C2_P7_1,C2_P7_2,C2_P10_1,C2_P10_2,C2_P10_3,C2_P10_4,C2_P10_5,C2_P10_6,C2_P10_7,C2_P10_8,C2_P11_1,C2_P11_2,C2_P12_1,C2_P12_2,C2_P12_3,C2_P12_4,C2_P12_5,C2_P12_6,C2_P12_7,C2_P12_8,C2_P13_1,C2_P13_2,C2_P13_3,C2_P13_4,C2_P13_5,C3_P1_1,C3_P1_2,C3_P1_3,C3_P1_4,C3_P1_5,C3_P1_6,C3_P1_7,C3_P1_8,C3_P2_1,C3_P2_2,C3_P2_3,C3_P2_4,C3_P2_5,C3_P2_6,C3_P2_7,C3_P2_8,C3_P2_9,C3_P2_10,C3_P2_11,C3_P2_12,C3_P2_13,C3_P2_14,C3_P2_15,C3_P2_16,C3_P3_1,C3_P3_2,IDMANZANA
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,001,,1459,1467,1385,70,0,2,0,2,0,0,1116,4,52,1,0,0,129,8,0,947,156,6,156,11,33,1,0,38,13,305,16,848,90,0,1181,63,13,28,9,0,0,16,1215,42,1174,68,11,0,19,4,5,29,1303,7,184,355,320,205,102,82,36,26,223,186,823,77,1,44,1379,6,23,20,0,0,47,849,1379,1412,1052,808,478,1142,1014,559,1318,404,963,506,136,89,9,88,1379,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,002,,1198,1327,1144,49,2,2,0,0,1,0,996,3,33,0,0,1,90,2,0,806,139,11,120,20,29,0,0,21,24,269,14,724,73,0,907,88,40,31,31,0,0,28,975,60,895,132,14,3,50,8,8,15,1097,28,144,277,242,174,101,97,32,58,182,110,727,105,1,74,1259,27,8,19,0,0,30,738,1245,1292,981,756,431,1035,944,525,1194,423,882,446,158,62,10,76,1251,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,003,,868,1026,848,18,0,2,0,0,0,0,727,6,60,0,1,1,27,1,0,595,60,14,86,34,33,1,0,15,2,216,5,548,37,0,720,47,19,23,10,0,0,4,724,62,717,48,0,1,26,2,11,18,818,5,55,174,203,134,114,77,23,43,72,79,624,46,2,32,987,2,11,1,0,0,16,630,975,1004,815,631,372,848,753,426,927,362,666,399,116,47,5,94,932,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,004,,2881,2447,2682,160,0,17,0,16,6,0,1781,9,14,1,0,1,299,18,0,1468,113,23,445,36,36,2,0,37,15,594,19,1298,160,0,1838,171,3,37,69,0,0,5,1989,23,1824,197,30,5,46,11,2,8,2084,39,257,479,613,344,161,130,61,78,477,1271,246,127,2,198,2315,18,16,38,0,0,56,1572,2309,2369,2021,1488,1060,2040,1864,1264,2318,532,1319,925,534,150,13,150,2297,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,004,A,624,529,608,9,0,3,0,4,0,0,255,2,1,0,0,0,218,4,0,169,54,7,213,11,24,2,0,1,3,37,7,378,54,0,367,32,21,12,37,0,2,9,417,3,338,44,37,23,30,0,4,4,445,35,45,110,172,82,36,18,5,12,62,380,14,18,6,3,516,0,5,9,0,0,7,321,496,521,436,312,211,453,401,243,504,36,231,145,111,74,1,22,507,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,005,,1024,922,976,35,2,0,0,8,3,0,782,8,3,0,0,0,49,4,0,640,51,8,108,19,19,1,0,13,2,264,6,522,38,1,767,65,0,9,5,0,0,0,829,3,757,69,7,0,12,0,0,1,841,5,163,184,199,139,64,49,25,23,203,485,110,48,0,48,868,2,5,13,0,0,36,554,874,880,735,572,413,754,704,478,873,330,536,394,177,41,11,48,874,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,006,A,1437,1309,1364,56,2,7,0,7,1,0,1053,1,9,2,0,0,102,13,0,870,34,3,233,6,34,0,0,21,3,241,7,775,133,0,1069,84,0,11,16,0,0,0,1149,4,1084,71,14,0,11,0,0,0,1166,14,172,274,350,189,71,52,33,39,214,752,154,60,0,22,1273,0,6,17,0,0,18,780,1229,1288,1074,709,480,1081,936,614,1241,128,676,558,272,105,15,72,1237,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,006,B,2199,1818,2043,87,2,9,0,49,9,0,1409,5,6,0,1,3,258,13,0,1152,78,17,385,27,32,4,0,34,15,318,14,1173,141,0,1610,59,0,15,8,0,0,3,1657,12,1603,68,5,5,8,0,1,5,1658,37,253,492,520,238,73,53,28,38,399,1072,151,72,1,88,1756,0,14,27,0,0,32,1086,1719,1778,1475,1031,606,1502,1288,827,1723,140,766,561,369,197,14,81,1737,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,006,C,1515,1459,1447,39,0,2,0,11,16,0,1071,4,6,0,1,0,138,8,0,915,79,9,177,11,37,0,0,30,19,271,7,812,88,1,1152,34,0,29,11,0,0,2,1178,8,1157,44,6,4,13,0,0,4,1224,4,141,328,327,204,89,59,20,60,272,631,250,75,0,33,1380,4,8,13,0,0,38,823,1360,1412,1122,758,481,1177,966,608,1364,203,736,479,303,125,9,67,1392,
070101,07,CONSTITUCIONAL DEL CALLAO,01,CONSTITUCIONAL DEL CALLAO,01,CALLAO,0001,CALLAO,006,D,615,554,568,26,10,0,0,11,0,0,396,0,2,0,1,0,88,5,0,334,37,2,102,4,13,0,0,5,1,78,5,354,49,0,465,22,0,5,0,0,0,0,482,5,441,48,2,0,1,0,0,0,490,2,56,139,117,78,47,24,16,15,99,331,33,29,0,2,539,0,1,4,0,0,10,313,517,543,438,318,189,457,382,243,530,32,225,200,104,54,2,26,528,
